ID: the-irish-times, Name: The Irish Times, Published From: 2019-09-03T05:00:00Z, Published To: 2019-10-03T17:46:46Z, Average Content Length: 3307
ID: the-new-york-times, Name: The New York Times, Published From: 2019-09-03T06:59:04Z, Published To: 2019-10-03T17:33:08Z, Average Content Length: 1972
ID: the-wall-street-journal, Name: The Wall Street Journal, Published From: 2019-09-03T00:31:44Z, Published To: 2019-10-03T17:34:34Z, Average Content Length: 2903
ID: reuters, Name: Reuters, Published From: 2019-09-03T12:48:56Z, Published To: 2019-10-03T17:47:25Z, Average Content Length: 2120
ID: cnn, Name: CNN, Published From: 2019-09-03T06:07:39.2534378Z, Published To: 2019-10-03T17:48:53Z, Average Content Length: 1880
ID: espn, Name: ESPN, Published From: 2019-09-03T10:55:00Z, Published To: 2019-10-03T16:14:00Z, Average Content Length: 2462
ID: newsweek, Name: Newsweek, Published From: 2019-09-03T00:10:54Z, Published To: 2019-10-03T13:51:23Z, Average Content Length: 3679
ID: al-jazeera-english, Name: Al Jazeera English, Published From: 2019-09-03T01:04:08Z, Published To: 2019-10-03T17:08:50Z, Average Content Length: 3080
ID: abc-news, Name: ABC News, Published From: 2019-09-03T08:35:15Z, Published To: 2019-10-03T17:48:58Z, Average Content Length: 1894
ID: bbc-news, Name: BBC News, Published From: 2019-09-03T00:58:01Z, Published To: 2019-10-03T17:49:31Z, Average Content Length: 1949
ID: cbs-news, Name: CBS News, Published From: 2019-09-03T00:10:19Z, Published To: 2019-10-03T17:43:42Z, Average Content Length: 1566
ID: business-insider, Name: Business Insider, Published From: 2019-09-03T00:00:00Z, Published To: 2019-10-03T17:47:46Z, Average Content Length: 3028
